Year,POS,Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
2013,WR,Ronnie Wingo,Buf,2,1,2,2,1,2,0,0,1,6
2013,WR,Richard Gordon,KC,2,1,3,3,1.5,3,0,0,1,2
2013,WR,Evan Royster,Was,10,1,3,3,0.3,3,0,0,1,7
2013,WR,Tyler Clutts,Mia,8,1,4,4,0.5,4,0,0,2,3
2013,WR,Justice Cunningham,Ind,1,1,4,4,4,4,0,0,1,2
2013,WR,Darius Reynaud,Ten,7,1,4,4,0.6,4,0,0,2,6
2013,WR,Henry Hynoski,NYG,3,1,5,5,1.7,5,0,0,2,11
2013,WR,Mike McNeill,Stl,14,1,5,5,0.4,5,0,0,1,8
2013,WR,Robert Hughes,Ind,1,1,6,6,6,6,0,0,2,7
2013,WR,Brandon Tate,Cin,16,1,6,6,0.4,6,0,0,2,0
2013,WR,Tyrod Taylor,Bal,3,1,6,6,2,6,0,0,1,8
2013,WR,Konrad Reuland,NYJ,10,1,7,7,0.7,7,0,0,3,5
2013,WR,Orson Charles,Cin,13,1,8,8,0.6,8,0,0,2,7
2013,WR,Zach Line,Min,3,1,8,8,2.7,8,0,0,3,5
2013,WR,Ben Obomanu,NYJ,3,1,8,8,2.7,8,0,0,1,2
2013,WR,Michael Palmer,Pit,16,1,8,8,0.5,8,0,0,1,7
2013,WR,Eric Weems,Chi,16,1,8,8,0.5,8,0,1,2,4
2013,WR,Nick Kasa,Oak,16,1,9,9,0.6,9t,1,1,5,0
2013,WR,Brad Meester,Jax,16,1,9,9,0.6,9,0,1,1,10
2013,WR,Armanti Edwards,Cle,6,1,10,10,1.7,10,0,0,5,6
2013,WR,Joe Banyard,Min,3,1,11,11,3.7,11,0,1,1,12
2013,WR,Matt Spaeth,Pit,4,1,11,11,2.8,11t,1,1,2,0
2013,WR,Richie Brockel,Car,16,1,12,12,0.8,12,0,1,1,11
2013,WR,Kevin Cone,Atl,16,1,12,12,0.8,12,0,1,1,4
2013,WR,Ray Graham,Hou,1,1,12,12,12,12,0,1,3,7
2013,WR,Dante Rosario,Chi,15,1,13,13,0.9,13,0,1,4,15
2013,WR,Geno Smith,NYJ,16,1,13,13,0.8,13,0,1,1,0
2013,WR,Joe Staley,SF,16,1,14,14,0.9,14,0,1,1,12
2013,WR,Tori Gurley,Cle,3,1,15,15,5,15,0,1,3,2
2013,WR,Kory Sperry,Ari,8,1,16,16,2,16,0,1,1,0
2013,WR,Percy Harvin,Sea,1,1,17,17,17,17,0,1,1,5
2013,WR,Kassim Osgood,SF,14,1,17,17,1.2,17,0,0,1,5
2013,WR,Dwayne Allen,Ind,1,1,20,20,20,20t,1,1,2,5
2013,WR,Chimdi Chekwa,Oak,15,1,22,22,1.5,22,0,1,1,12
2013,WR,Teddy Williams,Ari,3,1,51,51,17,51,0,1,1,0
2013,WR,Dan Herron,Ind,6,1,57,57,9.5,57,0,1,1,60
2013,WR,Philip Rivers,SD,16,0,-9,0,-0.6,-9,0,0,0,-2
2013,WR,Michael Vick,Phi,7,0,-2,0,-0.3,-2,0,0,0,-5
2013,WR,Jared Allen,Min,16,0,0,0,0,0,0,0,1,0
2013,WR,C.J. Anderson,Den,5,0,0,0,0,0,0,0,1,0
2013,WR,Joseph Anderson,Chi,6,0,0,0,0,0,0,0,1,0
2013,WR,Michael Campbell,NYJ,4,0,0,0,0,0,0,0,2,0
2013,WR,Chase Coffman,Atl,11,0,0,0,0,0,0,0,2,0
2013,WR,Marcus Gilbert,Pit,16,0,0,0,0,0,0,0,0,-11
2013,WR,Saalim Hakim,NYJ,3,0,0,0,0,0,0,0,1,0
2013,WR,Bryce Harris,NO,16,0,0,0,0,0,0,0,1,0
2013,WR,Greg Jenkins,Oak,6,0,0,0,0,0,0,0,1,0
2013,WR,Quinn Johnson,Ten,4,0,0,0,0,0,0,0,1,0
2013,WR,Kyle Juszczyk,Bal,16,0,0,0,0,0,0,0,1,0
2013,WR,Steve Maneri,Chi,4,0,0,0,0,0,0,0,2,0
2013,WR,Marvin McNutt,Car,1,0,0,0,0,0,0,0,1,0
2013,WR,Chris Rainey,Ind,2,0,0,0,0,0,0,0,1,0
2013,WR,Denard Robinson,Jax,16,0,0,0,0,0,0,0,1,0
2013,WR,Brian Robiskie,Atl,1,0,0,0,0,0,0,0,1,0
2013,WR,Evan Rodriguez,Buf,7,0,0,0,0,0,0,0,1,0
2013,WR,Nate Solder,NE,15,0,0,0,0,0,0,0,1,0
2013,WR,Ryan Spadola,NYJ,3,0,0,0,0,0,0,0,1,0
2013,WR,Julian Talley,NYG,2,0,0,0,0,0,0,0,2,0
2013,WR,Isaiah Trufant,NYJ,16,0,0,0,0,0,0,0,1,0
2013,WR,Leon Washington,NE,2,0,0,0,0,0,0,0,1,0
2013,WR,D.J. Williams,Jax,9,0,0,0,0,0,0,0,2,0
2013,WR,Stephen Williams,Jax,6,0,0,0,0,0,0,0,4,0
2013,WR,Ben Roethlisberger,Pit,16,0,5,0,0.3,5,0,0,0,-6
2014,WR,Antonio Brown,Pit,16,129,"1,698",13.16,106.1,63t,13,85,181,601
