Year,POS,Player,Team,Num,Yds,Avg,FC,Lg,TD
2014,KR,DuJuan Harris,GB,22,456,20.73,0,41,0
2014,KR,Omar Bolden,Den,13,429,33,0,77,0
2014,KR,Latavius Murray,Oak,19,429,22.58,0,38,0
2014,KR,De'Anthony Thomas,KC,14,428,30.57,0,78,0
2014,KR,Ted Ginn Jr.,Ari,22,417,18.95,0,43,0
2014,KR,Solomon Patton,TB,18,416,23.11,0,28,0
2014,KR,Josh Huff,Phi,14,415,29.64,0,107t,1
2014,KR,Brandon Tate,Cin,18,397,22.06,0,31,0
2014,KR,Griff Whalen,Ind,15,379,25.27,0,32,0
2014,KR,Paul Richardson,Sea,16,376,23.5,0,47,0
2014,KR,Travaris Cadet,NO,15,364,24.27,0,34,0
2014,KR,T.J. Carrie,Oak,15,362,24.13,0,42,0
2014,KR,Chris Polk,Phi,11,340,30.91,0,102t,1
2014,KR,Marlon Moore,Cle,13,322,24.77,0,32,0
2014,KR,C.J. Spiller,Buf,10,306,30.6,0,102t,1
2014,KR,Marcus Thigpen,TB,12,285,23.75,0,49,0
2014,KR,Saalim Hakim,NYJ,13,279,21.46,0,44,0
2014,KR,Andre Caldwell,Den,12,278,23.17,0,54,0
2014,KR,Philly Brown,Car,12,273,22.75,0,35,0
2014,KR,Carlos Hyde,SF,11,268,24.36,0,30,0
2014,KR,Danieal Manning,Hou,13,267,20.54,0,41,0
2014,KR,Fozzy Whittaker,Car,11,262,23.82,0,46,0
2014,KR,Michael Cox,NYG,11,261,23.73,0,40,0
2014,KR,Quintin Demps,NYG,12,255,21.25,0,29,0
2014,KR,Travis Benjamin,Cle,12,246,20.5,0,28,0
2014,KR,Walter Powell,NYJ,8,233,29.12,0,62,0
2014,KR,Bishop Sankey,Ten,7,198,28.29,0,42,0
2014,KR,Shaun Draughn,SD,8,173,21.62,0,39,0
2014,KR,Brenton Bersin,Car,7,167,23.86,0,49,0
2014,KR,Dri Archer,Pit,9,161,17.89,0,23,0
2014,KR,Bobby Rainey,TB,6,158,26.33,0,33,0
2014,KR,Chris Owusu,TB,3,147,49,0,87,0
2014,KR,Patrick Chung,NE,7,140,20,0,30,0
2014,KR,Jalen Saunders,NO,3,139,46.33,0,99,0
2014,KR,Damaris Johnson,Hou,6,136,22.67,0,31,0
2014,KR,George Atkinson III,Oak,7,134,19.14,0,28,0
2014,KR,Trindon Holliday,TB,5,128,25.6,0,32,0
2014,KR,T.J. Graham,NYJ,6,113,18.83,0,23,0
2014,KR,Marcus Sherels,Min,4,110,27.5,0,46,0
2014,KR,Antonio Andrews,Ten,5,110,22,0,27,0
2014,KR,Rashad Ross,Chi,5,106,21.2,0,24,0
2014,KR,LeGarrette Blount,Pit,5,103,20.6,0,29,0
2014,KR,Damien Williams,Mia,5,102,20.4,1,26,0
2014,KR,Chris Givens,Stl,5,101,20.2,0,29,0
2014,KR,Taylor Gabriel,Cle,4,96,24,0,30,0
2014,KR,Micah Hyde,GB,4,96,24,0,28,0
2014,KR,Senorise Perry,Chi,4,88,22,0,21,0
2014,KR,Marquise Goodwin,Buf,4,84,21,0,24,0
2014,KR,Doug Baldwin,Sea,5,81,16.2,0,24,0
2014,KR,Dan Herron,Ind,3,78,26,0,32,0
2014,KR,Bryce Brown,Buf,3,75,25,0,32,0
2014,KR,Frankie Hammond,KC,2,74,37,0,37,0
2014,KR,Joe McKnight,KC,3,65,21.67,0,25,0
2014,KR,Leodis McKelvin,Buf,4,64,16,0,30,0
2014,KR,Perrish Cox,SF,2,60,30,0,57,0
2014,KR,Darren McFadden,Oak,3,59,19.67,0,23,0
2014,KR,Emmanuel Sanders,Den,3,54,18,0,22,0
2014,KR,Joe Webb,Car,2,53,26.5,0,27,0
2014,KR,Anthony Dixon,Buf,4,52,13,0,15,0
2014,KR,Matt Asiata,Min,4,47,11.75,0,16,0
2014,KR,Lance Dunbar,Dal,2,46,23,0,28,0
2014,KR,Nolan Carroll,Phi,2,45,22.5,0,24,0
2014,KR,Matt Slater,NE,2,44,22,0,26,0
2014,KR,Jackie Battle,Ten,2,43,21.5,0,22,0
2014,KR,Bryan Walters,Sea,2,43,21.5,0,27,0
2014,KR,Kenbrell Thompkins,Oak,3,43,14.33,0,21,0
2014,KR,Fitzgerald Toussaint,Bal,2,41,20.5,0,23,0
2014,KR,James Casey,Phi,3,38,12.67,0,16,0
2014,KR,Luke Willson,Sea,3,37,12.33,0,20,0
2014,KR,Niles Paul,Was,2,36,18,0,20,0
2014,KR,Jerome Felton,Min,3,36,12,0,14,0
2014,KR,Brandon Williams,Car,3,36,12,0,19,0
2014,KR,Bilal Powell,NYJ,2,34,17,0,25,0
2014,KR,Eric Weems,Atl,2,34,17,0,17,0
2014,KR,Adam Thielen,Min,2,33,16.5,0,21,0
2014,KR,Karl Klug,Ten,2,32,16,0,20,0
2014,KR,Khiry Robinson,NO,1,28,28,0,28,0
2014,KR,Kyle Juszczyk,Bal,2,28,14,0,16,0
2014,KR,George Winn,Det,2,28,14,0,16,0
,,,,,,,,,
2013,KR,Devin Hester,Chi,52,"1,436",27.62,0,80,0
2013,KR,Cordarrelle Patterson,Min,43,"1,393",32.4,0,109t,2
2013,KR,Quintin Demps,KC,33,992,30.06,0,95t,1
2013,KR,Keshawn Martin,Hou,36,947,26.31,0,50,0
2013,KR,Brandon Tate,Cin,35,914,26.11,0,71,0
2013,KR,Jacoby Jones,Bal,31,892,28.77,0,77t,1
2013,KR,Marcus Thigpen,Mia,39,870,22.31,0,50,0
2013,KR,Dwayne Harris,Dal,28,857,30.61,0,90,0
2013,KR,Trindon Holliday,Den,28,775,27.68,0,105t,1
2013,KR,Jordan Todman,Jax,26,712,27.38,0,59,0
2013,KR,Fozzy Whittaker,Cle,29,638,22,0,56,0
2013,KR,Taiwan Jones,Oak,26,623,23.96,0,41,0
2013,KR,Ted Ginn Jr.,Car,25,595,23.8,0,38,0
2013,KR,David Reed,Ind,24,590,24.58,0,39,0
2013,KR,Jacquizz Rodgers,Atl,25,575,23,0,34,0
2013,KR,Eric Page,TB,22,548,24.91,1,44,0
2013,KR,Micah Hyde,GB,22,531,24.14,0,70,0
2013,KR,Jeremy Ross,GB,21,514,24.48,0,98t,1
2013,KR,Felix Jones,Pit,23,510,22.17,0,42,0
2013,KR,Leon Washington,NE,17,500,29.41,0,95,0
2013,KR,LeGarrette Blount,NE,17,494,29.06,0,83,0
2013,KR,Javier Arenas,Ari,23,493,21.43,0,46,0
2013,KR,Joshua Cribbs,NYJ,20,490,24.5,0,42,0
2013,KR,Damaris Johnson,Phi,17,441,25.94,0,33,0
2013,KR,Michael Cox,NYG,20,436,21.8,0,56,0
2013,KR,Darius Reynaud,Ten,18,430,23.89,0,40,0
2013,KR,Niles Paul,Was,20,411,20.55,0,39,0
2013,KR,Tavon Austin,Stl,18,398,22.11,0,32,0
2013,KR,Micheal Spurlock,Det,18,389,21.61,0,36,0
2013,KR,Marquise Goodwin,Buf,16,351,21.94,0,28,0
2013,KR,Knile Davis,KC,10,321,32.1,0,108t,1
2013,KR,LaMichael James,SF,12,321,26.75,0,41,0
2013,KR,Benny Cunningham,Stl,13,299,23,0,32,0
2013,KR,Jermaine Kearse,Sea,13,283,21.77,0,40,0
2013,KR,Emmanuel Sanders,Pit,10,268,26.8,0,46,0
2013,KR,Danny Woodhead,SD,12,262,21.83,0,37,0
2013,KR,Darren Sproles,NO,12,255,21.25,0,32,0
2013,KR,Jacoby Ford,Oak,11,253,23,0,30,0
2013,KR,Jerrel Jernigan,NYG,11,246,22.36,0,46,0
2013,KR,Travaris Cadet,NO,9,239,26.56,0,82,0
