Team,Year,Season,Week,Opponent,Outcome,Score,Points For,Points Against,Margin of Victory,Opponent Name,Real Opponent Name,
Black Mass,2016,6,6,avatar Poppy's Champions,Loss,76.10 - 126.08,76.10 ,126.08,-49.98,Poppy's Champions,Poppy's Champions,
Black Mass,2016,6,7,avatar richard,Loss,84.00 - 108.08,84.00 ,108.08,-24.08,richard,richard,
Black Mass,2016,6,8,avatar Surace,Win,92.32 - 91.00,92.32 , 91.00,1.32,Surace,Surace,
Black Mass,2016,6,9,avatar The Black Shepherd,Win,90.46 - 85.38,90.46 , 85.38,5.08,The Black Shepherd,The Black Shepherd,
Black Mass,2016,6,10,avatar The Mighty Albatross,Loss,111.04 - 113.28,111.04,113.28,-2.24,The Mighty Albatross,The Mighty Albatross,
Black Mass,2016,6,11,avatar The People's Champ,Loss,95.30 - 114.20,95.30 ,114.20,-18.9,The People's Champ,The People's Champ,
Black Mass,2016,6,12,avatar Commissioner Gordon,Loss,105.70 - 125.30,105.70,125.30,-19.6,Commissioner Gordon,Commissioner Gordon,
Black Mass,2016,6,13,avatar The Wolf of Greek St,Loss,99.90 - 110.46,99.90 ,110.46,-10.56,The Wolf of Greek St,The Wolf of Greek St,
Dune Squad,2016,6,1,avatar The People's Champ,Loss,122.00 - 122.50,122.00,122.50,-0.5,The People's Champ,The People's Champ,
Dune Squad,2016,6,2,avatar Commissioner Gordon,Win,106.68 - 87.32,106.68, 87.32,19.36,Commissioner Gordon,Commissioner Gordon,
Dune Squad,2016,6,3,avatar Black Mass,Loss,104.44 - 116.36,104.44,116.36,-11.92,Black Mass,Black Mass,
Dune Squad,2016,6,4,avatar The Wolf of Greek St,Loss,92.96 - 150.40,92.96 ,150.40,-57.44,The Wolf of Greek St,The Wolf of Greek St,
Dune Squad,2016,6,5,avatar GhostingTheLombardi,Win,136.28 - 104.76,136.28,104.76,31.52,GhostingTheLombardi,GhostingTheLombardi,
Dune Squad,2016,6,6,avatar Milk Man,Win,120.78 - 90.66,120.78, 90.66,30.12,Milk Man,Milk Man,
Dune Squad,2016,6,7,avatar Poppy's Champions,Loss,95.62 - 125.32,95.62 ,125.32,-29.7,Poppy's Champions,Poppy's Champions,
Dune Squad,2016,6,8,avatar richard,Loss,106.32 - 116.22,106.32,116.22,-9.9,richard,richard,
Dune Squad,2016,6,9,avatar Surace,Loss,109.34 - 124.14,109.34,124.14,-14.8,Surace,Surace,
Dune Squad,2016,6,10,avatar The Black Shepherd,Win,88.62 - 78.34,88.62 , 78.34,10.28,The Black Shepherd,The Black Shepherd,
Dune Squad,2016,6,11,avatar The Mighty Albatross,Win,98.28 - 94.80,98.28 , 94.80,3.48,The Mighty Albatross,The Mighty Albatross,
Dune Squad,2016,6,12,avatar The People's Champ,Loss,68.04 - 92.24,68.04 , 92.24,-24.2,The People's Champ,The People's Champ,
Dune Squad,2016,6,13,avatar Commissioner Gordon,Win,112.82 - 103.54,112.82,103.54,9.28,Commissioner Gordon,Commissioner Gordon,
GhostingTheLombardi,2016,6,1,avatar The Mighty Albatross,Win,124.56 - 93.04,124.56, 93.04,31.52,The Mighty Albatross,The Mighty Albatross,
GhostingTheLombardi,2016,6,2,avatar The People's Champ,Win,110.12 - 87.10,110.12, 87.10,23.02,The People's Champ,The People's Champ,
GhostingTheLombardi,2016,6,3,avatar Commissioner Gordon,Loss,81.80 - 124.54,81.80 ,124.54,-42.74,Commissioner Gordon,Commissioner Gordon,
GhostingTheLombardi,2016,6,4,avatar Black Mass,Loss,83.62 - 141.46,83.62 ,141.46,-57.84,Black Mass,Black Mass,
GhostingTheLombardi,2016,6,5,avatar Dune Squad,Loss,104.76 - 136.28,104.76,136.28,-31.52,Dune Squad,Dune Squad,
GhostingTheLombardi,2016,6,6,avatar The Wolf of Greek St,Win,97.66 - 91.70,97.66 , 91.70,5.96,The Wolf of Greek St,The Wolf of Greek St,
GhostingTheLombardi,2016,6,7,avatar Milk Man,Loss,91.54 - 100.14,91.54 ,100.14,-8.6,Milk Man,Milk Man,
GhostingTheLombardi,2016,6,8,avatar Poppy's Champions,Win,106.04 - 103.08,106.04,103.08,2.96,Poppy's Champions,Poppy's Champions,
GhostingTheLombardi,2016,6,9,avatar richard,Win,121.18 - 79.68,121.18, 79.68,41.5,richard,richard,
GhostingTheLombardi,2016,6,10,avatar Surace,Loss,105.54 - 127.98,105.54,127.98,-22.44,Surace,Surace,
GhostingTheLombardi,2016,6,11,avatar The Black Shepherd,Loss,107.34 - 109.38,107.34,109.38,-2.04,The Black Shepherd,The Black Shepherd,
GhostingTheLombardi,2016,6,12,avatar The Mighty Albatross,Loss,91.12 - 104.04,91.12 ,104.04,-12.92,The Mighty Albatross,The Mighty Albatross,
GhostingTheLombardi,2016,6,13,avatar The People's Champ,Win,102.76 - 98.66,102.76, 98.66,4.1,The People's Champ,The People's Champ,
Milk Man,2016,6,1,avatar The Black Shepherd,Win,124.78 - 90.32,124.78, 90.32,34.46,The Black Shepherd,The Black Shepherd,
Milk Man,2016,6,2,avatar The Mighty Albatross,Loss,108.92 - 134.60,108.92,134.60,-25.68,The Mighty Albatross,The Mighty Albatross,
Milk Man,2016,6,3,avatar The People's Champ,Win,144.40 - 75.10,144.40, 75.10,69.3,The People's Champ,The People's Champ,
Milk Man,2016,6,4,avatar Commissioner Gordon,Loss,98.68 - 121.58,98.68 ,121.58,-22.9,Commissioner Gordon,Commissioner Gordon,
Milk Man,2016,6,5,avatar Black Mass,Win,127.32 - 99.28,127.32, 99.28,28.04,Black Mass,Black Mass,
Milk Man,2016,6,6,avatar Dune Squad,Loss,90.66 - 120.78,90.66 ,120.78,-30.12,Dune Squad,Dune Squad,
Milk Man,2016,6,7,avatar GhostingTheLombardi,Win,100.14 - 91.54,100.14, 91.54,8.6,GhostingTheLombardi,GhostingTheLombardi,
Milk Man,2016,6,8,avatar The Wolf of Greek St,Loss,82.88 - 123.82,82.88 ,123.82,-40.94,The Wolf of Greek St,The Wolf of Greek St,
Milk Man,2016,6,9,avatar Poppy's Champions,Win,103.68 - 96.90,103.68, 96.90,6.78,Poppy's Champions,Poppy's Champions,
Milk Man,2016,6,10,avatar richard,Loss,101.70 - 104.26,101.70,104.26,-2.56,richard,richard,
Milk Man,2016,6,11,avatar Surace,Loss,109.08 - 116.50,109.08,116.50,-7.42,Surace,Surace,
Milk Man,2016,6,12,avatar The Black Shepherd,Win,132.56 - 106.26,132.56,106.26,26.3,The Black Shepherd,The Black Shepherd,
Milk Man,2016,6,13,avatar The Mighty Albatross,Win,123.70 - 94.08,123.70, 94.08,29.62,The Mighty Albatross,The Mighty Albatross,
Poppy's Champions,2016,6,1,avatar Surace,Win,99.46 - 89.44,99.46 , 89.44,10.02,Surace,Surace,
Poppy's Champions,2016,6,2,avatar The Black Shepherd,Win,154.82 - 82.36,154.82, 82.36,72.46,The Black Shepherd,The Black Shepherd,
Poppy's Champions,2016,6,3,avatar The Mighty Albatross,Loss,101.48 - 123.54,101.48,123.54,-22.06,The Mighty Albatross,The Mighty Albatross,
Poppy's Champions,2016,6,4,avatar The People's Champ,Win,87.80 - 80.14,87.80 , 80.14,7.66,The People's Champ,The People's Champ,
Poppy's Champions,2016,6,5,avatar Commissioner Gordon,Loss,101.58 - 114.86,101.58,114.86,-13.28,Commissioner Gordon,Commissioner Gordon,
Poppy's Champions,2016,6,6,avatar Black Mass,Win,126.08 - 76.10,126.08, 76.10,49.98,Black Mass,Black Mass,
Poppy's Champions,2016,6,7,avatar Dune Squad,Win,125.32 - 95.62,125.32, 95.62,29.7,Dune Squad,Dune Squad,
Poppy's Champions,2016,6,8,avatar GhostingTheLombardi,Loss,103.08 - 106.04,103.08,106.04,-2.96,GhostingTheLombardi,GhostingTheLombardi,
Poppy's Champions,2016,6,9,avatar Milk Man,Loss,96.90 - 103.68,96.90 ,103.68,-6.78,Milk Man,Milk Man,
Poppy's Champions,2016,6,10,avatar The Wolf of Greek St,Win,108.44 - 105.02,108.44,105.02,3.42,The Wolf of Greek St,The Wolf of Greek St,
Poppy's Champions,2016,6,11,avatar richard,Loss,70.18 - 101.22,70.18 ,101.22,-31.04,richard,richard,
Poppy's Champions,2016,6,12,avatar Surace,Loss,120.54 - 150.56,120.54,150.56,-30.02,Surace,Surace,
Poppy's Champions,2016,6,13,avatar The Black Shepherd,Win,116.90 - 91.80,116.90, 91.80,25.1,The Black Shepherd,The Black Shepherd,
Richard,2016,6,1,avatar The Wolf of Greek St,Loss,109.82 - 116.70,109.82,116.70,-6.88,The Wolf of Greek St,The Wolf of Greek St,
Richard,2016,6,2,avatar Surace,Loss,72.96 - 84.62,72.96 , 84.62,-11.66,Surace,Surace,
Richard,2016,6,3,avatar The Black Shepherd,Loss,117.50 - 126.18,117.50,126.18,-8.68,The Black Shepherd,The Black Shepherd,
Richard,2016,6,4,avatar The Mighty Albatross,Win,120.12 - 83.02,120.12, 83.02,37.1,The Mighty Albatross,The Mighty Albatross,
Richard,2016,6,5,avatar The People's Champ,Loss,72.50 - 112.34,72.50 ,112.34,-39.84,The People's Champ,The People's Champ,
Richard,2016,6,6,avatar Commissioner Gordon,Loss,96.00 - 100.60,96.00 ,100.60,-4.6,Commissioner Gordon,Commissioner Gordon,
Richard,2016,6,7,avatar Black Mass,Win,108.08 - 84.00,108.08, 84.00,24.08,Black Mass,Black Mass,
Richard,2016,6,8,avatar Dune Squad,Win,116.22 - 106.32,116.22,106.32,9.9,Dune Squad,Dune Squad,
Richard,2016,6,9,avatar GhostingTheLombardi,Loss,79.68 - 121.18,79.68 ,121.18,-41.5,GhostingTheLombardi,GhostingTheLombardi,
Richard,2016,6,10,avatar Milk Man,Win,104.26 - 101.70,104.26,101.70,2.56,Milk Man,Milk Man,
Richard,2016,6,11,avatar Poppy's Champions,Win,101.22 - 70.18,101.22, 70.18,31.04,Poppy's Champions,Poppy's Champions,
Richard,2016,6,12,avatar The Wolf of Greek St,Win,89.90 - 89.54,89.90 , 89.54,0.36,The Wolf of Greek St,The Wolf of Greek St,
Richard,2016,6,13,avatar Surace,Win,107.44 - 79.40,107.44, 79.40,28.04,Surace,Surace,
The Black Shepherd,2016,6,1,avatar Milk Man,Loss,90.32 - 124.78,90.32 ,124.78,-34.46,Milk Man,Milk Man,
The Black Shepherd,2016,6,2,avatar Poppy's Champions,Loss,82.36 - 154.82,82.36 ,154.82,-72.46,Poppy's Champions,Poppy's Champions,
The Black Shepherd,2016,6,3,avatar richard,Win,126.18 - 117.50,126.18,117.50,8.68,richard,richard,
The Black Shepherd,2016,6,4,avatar Surace,Win,125.52 - 90.02,125.52, 90.02,35.5,Surace,Surace,
The Black Shepherd,2016,6,5,avatar The Wolf of Greek St,Win,126.86 - 90.60,126.86, 90.60,36.26,The Wolf of Greek St,The Wolf of Greek St,
The Black Shepherd,2016,6,6,avatar The Mighty Albatross,Loss,63.52 - 88.80,63.52 , 88.80,-25.28,The Mighty Albatross,The Mighty Albatross,
