Year,POS,Team,Tot Pts,Pts/G,Pts_0,Pts_1_6,Pts_7_13,Pts_14_20,Pts_21_27,Pts_28_34,Pts_34
2014,DEF,TB,410,25.60,0,0,0,0,1,0,0
2014,DEF,JAX,412,25.80,0,0,0,0,1,0,0
2014,DEF,TEN,438,27.40,0,0,0,0,0,1,0
2014,DEF,PHI,400,25.00,0,0,0,0,1,0,0
2014,DEF,NYG,400,25.00,0,0,0,0,1,0,0
2014,DEF,CHI,442,27.60,0,0,0,0,0,1,0
2014,DEF,NO,424,26.50,0,0,0,0,0,0,0
2014,DEF,ATL,417,26.10,0,0,0,0,0,0,0
2013,DEF,SEA,231,14.40,0,0,0,1,0,0,0
2013,DEF,CAR,241,15.10,0,0,0,1,0,0,0
2013,DEF,CIN,305,19.10,0,0,0,1,0,0,0
2013,DEF,NO,304,19.00,0,0,0,1,0,0,0
2013,DEF,SF,272,17.00,0,0,0,1,0,0,0
2013,DEF,ARI,324,20.20,0,0,0,0,1,0,0
2013,DEF,HOU,428,26.80,0,0,0,0,0,0,0
2013,DEF,NYG,383,23.90,0,0,0,0,1,0,0
2013,DEF,CLE,406,25.40,0,0,0,0,1,0,0
2013,DEF,BUF,388,24.20,0,0,0,0,1,0,0
2013,DEF,NYJ,387,24.20,0,0,0,0,1,0,0
2013,DEF,BAL,352,22.00,0,0,0,0,1,0,0
2013,DEF,PIT,370,23.10,0,0,0,0,1,0,0
2013,DEF,TEN,381,23.80,0,0,0,0,1,0,0
2013,DEF,LAR,364,22.80,0,0,0,0,1,0,0
2013,DEF,DET,376,23.50,0,0,0,0,1,0,0
2013,DEF,TB,389,24.30,0,0,0,0,1,0,0
2013,DEF,WAS,478,29.90,0,0,0,0,0,1,0
2013,DEF,DEN,399,24.90,0,0,0,0,1,0,0
2013,DEF,IND,336,21.00,0,0,0,0,1,0,0
2013,DEF,MIA,335,20.90,0,0,0,0,1,0,0
2013,DEF,OAK,453,28.30,0,0,0,0,0,1,0
2013,DEF,SD,348,21.80,0,0,0,0,1,0,0
2013,DEF,KC,305,19.10,0,0,0,1,0,0,0
2013,DEF,GB,428,26.80,0,0,0,0,0,0,0
2013,DEF,NE,338,21.10,0,0,0,0,1,0,0
2013,DEF,ATL,443,27.70,0,0,0,0,0,1,0
2013,DEF,JAX,449,28.10,0,0,0,0,0,1,0
2013,DEF,PHI,382,23.90,0,0,0,0,1,0,0
2013,DEF,CHI,478,29.90,0,0,0,0,0,1,0
2013,DEF,MIN,480,30.00,0,0,0,0,0,1,0
2013,DEF,DAL,432,27.00,0,0,0,0,0,0,0
2012,DEF,PIT,314,19.60,0,0,0,1,0,0,0
2012,DEF,DEN,289,18.10,0,0,0,1,0,0,0
2012,DEF,SF,273,17.10,0,0,0,1,0,0,0
2012,DEF,SEA,245,15.30,0,0,0,1,0,0,0
2012,DEF,CHI,277,17.30,0,0,0,1,0,0,0
2012,DEF,CIN,320,20.00,0,0,0,1,0,0,0
2012,DEF,HOU,331,20.70,0,0,0,0,1,0,0
2012,DEF,NYJ,375,23.40,0,0,0,0,1,0,0
2012,DEF,SD,350,21.90,0,0,0,0,1,0,0
2012,DEF,CAR,363,22.70,0,0,0,0,1,0,0
2012,DEF,GB,336,21.00,0,0,0,0,1,0,0
2012,DEF,ARI,357,22.30,0,0,0,0,1,0,0
2012,DEF,DET,437,27.30,0,0,0,0,0,1,0
2012,DEF,LAR,348,21.80,0,0,0,0,1,0,0
2012,DEF,PHI,444,27.80,0,0,0,0,0,1,0
2012,DEF,MIN,348,21.80,0,0,0,0,1,0,0
2012,DEF,BAL,344,21.50,0,0,0,0,1,0,0
2012,DEF,OAK,443,27.70,0,0,0,0,0,1,0
2012,DEF,DAL,400,25.00,0,0,0,0,1,0,0
2012,DEF,KC,425,26.60,0,0,0,0,0,0,0
2012,DEF,MIA,317,19.80,0,0,0,1,0,0,0
2012,DEF,BUF,435,27.20,0,0,0,0,0,1,0
2012,DEF,CLE,368,23.00,0,0,0,0,1,0,0
2012,DEF,ATL,299,18.70,0,0,0,1,0,0,0
2012,DEF,NE,331,20.70,0,0,0,0,1,0,0
2012,DEF,IND,387,24.20,0,0,0,0,1,0,0
2012,DEF,TEN,471,29.40,0,0,0,0,0,1,0
2012,DEF,WAS,388,24.20,0,0,0,0,1,0,0
2012,DEF,TB,394,24.60,0,0,0,0,1,0,0
2012,DEF,JAX,444,27.80,0,0,0,0,0,1,0
2012,DEF,NYG,344,21.50,0,0,0,0,1,0,0
2012,DEF,NO,454,28.40,0,0,0,0,0,1,0
