Year,POS,Player,Team,Sack
2015,DEF,Ezekiel Ansah,Det,14.5
2015,DEF,Kenny Anunike,Den,0
2015,DEF,Thurston Armbrister,Jax,0
2015,DEF,Arik Armstead,SF,2
2015,DEF,Terron Armstead,NO,0
2015,DEF,Ray-Ray Armstrong,SF,1
2015,DEF,Kyle Arrington,Bal,0
2015,DEF,Larry Asante,Oak,0
2015,DEF,Matt Asiata,Min,0
2015,DEF,Geno Atkins,Cin,11
2015,DEF,Jeremiah Attaochu,SD,6
2015,DEF,Miles Austin,Phi,0
2015,DEF,Tavon Austin,Stl,0
2015,DEF,Denico Autry,Oak,3
2015,DEF,Cliff Avril,Sea,9
2015,DEF,Akeem Ayers,Stl,0.5
2015,DEF,Robert Ayers,NYG,9.5
2015,DEF,Johnson Bademosi,Cle,0
2015,DEF,Allen Bailey,KC,4.5
2015,DEF,Dion Bailey,Sea,0.5
2015,DEF,Stedman Bailey,Stl,0
2015,DEF,Brandon Bair,Phi,0
2015,DEF,Chris Baker,Was,6
2015,DEF,Neiron Ball,Oak,1
2015,DEF,Alan Ball,Chi,0
2015,DEF,Lonnie Ballentine,Hou,0
2015,DEF,Chris Banjo,GB,0
2015,DEF,Johnthan Banks,TB,0
2015,DEF,Joe Banyard,Jax,0
2015,DEF,Allen Barbre,Phi,0
2015,DEF,T.J. Barnes,NYJ,0
2015,DEF,Tavaris Barnes,NO,0
2015,DEF,Tim Barnes,Stl,0
2015,DEF,Gary Barnidge,Cle,0
2015,DEF,Shaquil Barrett,Den,5.5
2015,DEF,Sam Barrington,GB,0
2015,DEF,Mark Barron,Stl,1
2015,DEF,Lamin Barrow,Chi,0
2015,DEF,Brad Bars,NYG,0
2015,DEF,Joplo Bartu,Jax,0
2015,DEF,Connor Barwin,Phi,7
2015,DEF,Houston Bates,Was,0
2015,DEF,Daren Bates,Stl,0
2015,DEF,Zane Beadles,Jax,0
2015,DEF,Cole Beasley,Dal,0
2015,DEF,Jon Beason,NYG,0
2015,DEF,Odell Beckham Jr.,NYG,0
2015,DEF,Byron Bell,Ten,0
2015,DEF,Joique Bell,Det,0
2015,DEF,Le'Veon Bell,Pit,0
2015,DEF,Josh Bellamy,Chi,0
2015,DEF,Nick Bellore,SF,0
2015,DEF,Travis Benjamin,Cle,0
2015,DEF,Martellus Bennett,Chi,0
2015,DEF,Michael Bennett,Sea,10
2015,DEF,Michael Bennett,Jax,0.5
2015,DEF,Dwight Bentley,Det,0
2015,DEF,Bene Benwikere,Car,1
2015,DEF,Joe Berger,Min,0
2015,DEF,Mackenzy Bernadeau,Dal,0
2015,DEF,Jordan Berry,Pit,0
2015,DEF,Brenton Bersin,Car,0
2015,DEF,Antoine Bethea,SF,1
2015,DEF,Kapri Bibbs,Den,0
2015,DEF,Kroy Biermann,Atl,2.5
2015,DEF,Edjuan Biggers,Phi,0
2015,DEF,Joel Bitonio,Cle,0
2015,DEF,Angelo Blackson,Ten,2.5
2015,DEF,Robert Blanton,Min,0
2015,DEF,Alfred Blue,Hou,0
2015,DEF,Tommy Bohanon,NYJ,0
2015,DEF,Brandon Bolden,NE,0
2015,DEF,Omar Bolden,Den,0
2015,DEF,Anquan Boldin,SF,0
2015,DEF,Clint Boling,Cin,0
2015,DEF,Blake Bortles,Jax,0
2015,DEF,Matt Bosher,Atl,0
2015,DEF,Jonathan Bostic,NE,0
2015,DEF,Tre Boston,Car,0
2015,DEF,Chris Boswell,Pit,0
2015,DEF,Dwayne Bowe,Cle,0
2015,DEF,Stephen Bowen,NYJ,0
2015,DEF,Da'Quan Bowers,TB,0
2015,DEF,NaVorro Bowman,SF,2.5
2015,DEF,Josh Boyd,GB,0
2015,DEF,Allen Bradford,Atl,0
2015,DEF,Sam Bradford,Phi,0
2015,DEF,Nigel Bradham,Buf,1
2015,DEF,Tom Brady,NE,0
2015,DEF,Bryan Braman,Phi,1
2015,DEF,Alan Branch,NE,1
2015,DEF,Andre Branch,Jax,4
2015,DEF,Cameron Brate,TB,0
2015,DEF,Beau Brinkley,Ten,0
2015,DEF,Jasper Brinkley,NYG,1
2015,DEF,Kenny Britt,Stl,0
2015,DEF,Michael Brockers,Stl,3
2015,DEF,Jay Bromley,NYG,0
2015,DEF,Ahmad Brooks,SF,6.5
2015,DEF,Brandon Brooks,Hou,0
2015,DEF,Cariel Brooks,Ari,0
2015,DEF,Ron Brooks,Buf,0
2015,DEF,Terrence Brooks,Bal,0
2015,DEF,Marlon Brown,Bal,0
2015,DEF,Donald Brown,SD,0
2015,DEF,Duane Brown,Hou,0
2015,DEF,Malcom Brown,NE,3
2015,DEF,Jalil Brown,Ind,0
2015,DEF,Sergio Brown,Jax,1.5
2015,DEF,Jaron Brown,Ari,0
2015,DEF,Tarell Brown,NE,0
2015,DEF,Jamon Brown,Stl,0
2015,DEF,Josh Brown,NYG,0
2015,DEF,Antonio Brown,Pit,0
2015,DEF,John Brown,Ari,0
2015,DEF,Arthur Brown,Bal,0
2015,DEF,Kourtnei Brown,TB,0
2015,DEF,Christian Bryant,Stl,0
2015,DEF,Corbin Bryant,Buf,0
2015,DEF,Desmond Bryant,Cle,6
2015,DEF,Martavis Bryant,Pit,0
2015,DEF,Red Bryant,Ari,0
2015,DEF,Armonty Bryant,Cle,5.5
2015,DEF,Max Bullough,Hou,0
2015,DEF,Rex Burkhead,Cin,0
2015,DEF,Morgan Burnett,GB,0
2015,DEF,Trey Burton,Phi,0
2015,DEF,Michael Burton,Det,0
2015,DEF,Rafael Bush,NO,0
2015,DEF,Jermon Bushrod,Chi,0
2015,DEF,Crezdon Butler,Det,0
2015,DEF,Donald Butler,SD,0.5
2015,DEF,Drew Butler,Ari,0
2015,DEF,Jeremy Butler,Bal,0
2015,DEF,Mario Butler,Buf,0
2015,DEF,Josh Bynes,Det,0.5
2015,DEF,Travaris Cadet,SF,0
2015,DEF,Andre Caldwell,Den,0
2015,DEF,Bryce Callahan,Chi,1
2015,DEF,Calais Campbell,Ari,5
2015,DEF,Ibraheim Campbell,Cle,0
2015,DEF,Chris Canty,Bal,1
2015,DEF,Tank Carder,Cle,0
2015,DEF,Joe Cardona,NE,0
2015,DEF,Don Carey,Det,0
2015,DEF,Ka'Deem Carey,Chi,0
2015,DEF,Dan Carpenter,Buf,0
2015,DEF,Brandon Carr,Dal,0
2015,DEF,Derek Carr,Oak,0
2015,DEF,Cornellius Carradine,SF,1
2015,DEF,Ryan Carrethers,SD,0
2015,DEF,Derek Carrier,Was,0
2015,DEF,Alex Carrington,Buf,0
2015,DEF,Bruce Carter,TB,2
2015,DEF,Chris Carter,Cin,0
2015,DEF,Jurrell Casey,Ten,7
2015,DEF,Anthony Castonzo,Ind,0
2015,DEF,Chandler Catanzaro,Ari,0
2015,DEF,Mike Catapano,NYJ,1
2015,DEF,Garrett Celek,SF,0
2015,DEF,Brent Celek,Phi,0
2015,DEF,Jamaal Charles,KC,0
2015,DEF,Stefan Charles,Buf,1
2015,DEF,Chris Chester,Atl,0
2015,DEF,Anthony Chickillo,Pit,0
2015,DEF,Patrick Chung,NE,0
2015,DEF,Barry Church,Dal,0
2015,DEF,Morris Claiborne,Dal,0
2015,DEF,Frank Clark,Sea,3
2015,DEF,Will Clarke,Cin,0.5
2015,DEF,Charles Clay,Buf,0
2015,DEF,Adrian Clayborn,Atl,3
2015,DEF,Chris Clemons,Ari,0
2015,DEF,Chris Clemons,Jax,3
2015,DEF,Jadeveon Clowney,Hou,4.5
2015,DEF,Randall Cobb,GB,0
2015,DEF,David Cobb,Ten,0
2015,DEF,Trent Cole,Ind,3
2015,DEF,Colin Cole,Car,0
2015,DEF,Audie Cole,Min,0
2015,DEF,Brandon Coleman,NO,0
2015,DEF,Derrick Coleman,Sea,0
2015,DEF,Deandre Coleman,Mia,0
2015,DEF,Justin Coleman,NE,0
2015,DEF,Tevin Coleman,Atl,0
2015,DEF,Jalen Collins,Atl,0
2015,DEF,La'el Collins,Dal,0
2015,DEF,Marques Colston,NO,0
2015,DEF,Aaron Colvin,Jax,4
2015,DEF,Jon Condo,Oak,0
2015,DEF,Chris Conley,KC,0
2015,DEF,Kavell Conner,SD,0
2015,DEF,Jared Cook,Stl,0
2015,DEF,Brandin Cooks,NO,0
2015,DEF,Riley Cooper,Phi,0
2015,DEF,Xavier Cooper,Cle,1.5
2015,DEF,Amari Cooper,Oak,0
2015,DEF,Marcus Cooper,KC,0
2015,DEF,Brandon Copeland,Det,0.5
2015,DEF,Quinton Coples,NYJ,0
2015,DEF,Jerricho Cotchery,Car,0
2015,DEF,Jerome Couplin,Phi,0
2015,DEF,Christian Covington,Hou,2
2015,DEF,Fletcher Cox,Phi,9.5
2015,DEF,Brock Coyle,Sea,0
2015,DEF,Michael Crabtree,Oak,0
2015,DEF,Jack Crawford,Dal,4
2015,DEF,Tyrone Crawford,Dal,5
2015,DEF,Scott Crichton,Min,0
2015,DEF,Jared Crick,Hou,2
2015,DEF,Marcus Cromartie,SF,0
2015,DEF,Antonio Cromartie,NYJ,0
2015,DEF,Mason Crosby,GB,0
2015,DEF,Jamison Crowder,Was,0
2015,DEF,Isaiah Crowell,Cle,0
2015,DEF,Jermelle Cudjo,Det,0
2015,DEF,Chris Culliver,Was,0
2015,DEF,Jeff Cumberland,NYJ,0
2015,DEF,Jerome Cunningham,NYG,0
2015,DEF,Benny Cunningham,Stl,0
2015,DEF,Vinny Curry,Phi,3.5
2015,DEF,Brian Cushing,Hou,0
2015,DEF,Jay Cutler,Chi,0
2015,DEF,Craig Dahl,NYG,1
2015,DEF,Andy Dalton,Cin,0
2015,DEF,Owen Daniels,Den,0
2015,DEF,B.J. Daniels,Sea,0
2015,DEF,Marcell Dareus,Buf,2
2015,DEF,Orleans Darkwa,NYG,0
2015,DEF,Matt Darr,Mia,0
2015,DEF,Ryan Davis,Jax,3.5
2015,DEF,Akeem Davis,NO,0
2015,DEF,Carl Davis,Bal,0
2015,DEF,Todd Davis,Den,0
2015,DEF,Chris Davis,SF,0
2015,DEF,Cody Davis,Stl,0
2015,DEF,Demario Davis,NYJ,2
2015,DEF,Will Davis,Bal,0
2015,DEF,Geremy Davis,NYG,0
2015,DEF,Kellen Davis,NYJ,0
2015,DEF,Mike Davis,SF,0
2015,DEF,Tyeler Davison,NO,1.5
2015,DEF,Paul Dawson,Cin,0
2015,DEF,David DeCastro,Pit,0
2015,DEF,Eric Decker,NYJ,0
2015,DEF,Ryan Delaire,Car,2.5
2015,DEF,Kenny Demens,Ari,0
2015,DEF,John Denney,Mia,0
2015,DEF,Akeem Dent,Hou,0
2015,DEF,Zak DeOssie,NYG,0
2015,DEF,Andrew DePaola,TB,0
2015,DEF,Pierre Desir,Cle,0
2015,DEF,Mike DeVito,KC,3
2015,DEF,Quinton Dial,SF,2.5
2015,DEF,Ed Dickson,Car,0
2015,DEF,Quandre Diggs,Det,0
2015,DEF,Stefon Diggs,Min,0
2015,DEF,Patrick DiMarco,Atl,0
2015,DEF,Anthony Dixon,Buf,0
2015,DEF,Brian Dixon,NO,0
2015,DEF,Demarcus Dobbs,Sea,0
2015,DEF,Aaron Donald,Stl,11
2015,DEF,Larry Donnell,NYG,0
2015,DEF,Jon Dorenbos,Phi,0
2015,DEF,Phillip Dorsett,Ind,0
2015,DEF,Glenn Dorsey,SF,0
2015,DEF,Lorenzo Doss,Den,0
2015,DEF,Harry Douglas,Ten,0
2015,DEF,Leger Douzable,NYJ,0
2015,DEF,Jack Doyle,Ind,0
2015,DEF,Shaun Draughn,Cle,0
2015,DEF,Justin Drescher,NO,0
2015,DEF,Kurtis Drummond,Hou,0
2015,DEF,Greg Ducre,SD,0
2015,DEF,Elvis Dumervil,Bal,6
2015,DEF,Jo-Lonn Dunbar,NO,0
2015,DEF,King Dunlap,SD,0
2015,DEF,Carlos Dunlap,Cin,13.5
2015,DEF,Brandon Dunn,Hou,0
2015,DEF,Alvin Dupree,Pit,4
2015,DEF,Justin Durant,Atl,0
2015,DEF,Donteea Dye,TB,0
2015,DEF,Nick Dzubnar,SD,0
2015,DEF,Kony Ealy,Car,5
2015,DEF,Dominique Easley,NE,2
2015,DEF,Nate Ebner,NE,0
2015,DEF,Eric Ebron,Det,0
2015,DEF,Kasim Edebali,NO,5
2015,DEF,Julian Edelman,NE,0
2015,DEF,Mario Edwards Jr.,Oak,2
2015,DEF,Dwan Edwards,Car,1
2015,DEF,Tyler Eifert,Cin,0
2015,DEF,Dannell Ellerbe,NO,0
2015,DEF,Bruce Ellington,SF,0
2015,DEF,Kenrick Ellis,Min,0
2015,DEF,Justin Ellis,Oak,0
2015,DEF,Rhett Ellison,Min,0
2015,DEF,IK Enemkpali,Buf,0
2015,DEF,Quincy Enunwa,NYJ,0
2015,DEF,Zach Ertz,Phi,0
2015,DEF,Gavin Escobar,Dal,0
2015,DEF,Josh Evans,Jax,0
2015,DEF,Mike Evans,TB,0
2015,DEF,Deshazor Everett,Was,0
2015,DEF,Antone Exum,Min,0
2015,DEF,Nick Fairley,Stl,0.5
2015,DEF,Anthony Fasano,Ten,0
2015,DEF,T.J. Fatinikun,TB,0
2015,DEF,Terrence Fede,Mia,0
2015,DEF,Ego Ferguson,Chi,0
2015,DEF,Carlos Fields,Was,0
2015,DEF,Cortland Finnegan,Car,0
2015,DEF,Larry Fitzgerald,Ari,0
2015,DEF,Ryan Fitzpatrick,NYJ,0
2015,DEF,Cameron Fleming,NE,0
2015,DEF,Darius Fleming,NE,0
2015,DEF,Jamell Fleming,KC,0
2015,DEF,Bradley Fletcher,NE,0
2015,DEF,Ereck Flowers,NYG,0
2015,DEF,Brandon Flowers,SD,1
2015,DEF,Malcom Floyd,SD,0
2015,DEF,Sharrif Floyd,Min,2.5
2015,DEF,Andre Fluellen,Det,0
2015,DEF,Kai Forbath,NO,0
2015,DEF,Dee Ford,KC,4
2015,DEF,Matt Forte,Chi,0
2015,DEF,Ramon Foster,Pit,0
2015,DEF,Mason Foster,Was,0
2015,DEF,Bennie Fowler,Den,0
2015,DEF,Jalston Fowler,Ten,0
2015,DEF,A.J. Francis,Sea,0
2015,DEF,Orlando Franklin,SD,0
2015,DEF,Travis Frederick,Dal,0
2015,DEF,Devonta Freeman,Atl,0
2015,DEF,Dwight Freeney,Ari,8
2015,DEF,Jonathan Freeny,NE,1
2015,DEF,Alani Fua,Ari,0
2015,DEF,Corey Fuller,Det,0
2015,DEF,Devin Funchess,Car,0
2015,DEF,Brandon Fusco,Min,0
2015,DEF,Blaine Gabbert,SF,0
2015,DEF,Andrew Gachkar,Dal,0
2015,DEF,Thomas Gafford,Chi,0
2015,DEF,Charles Gaines,Cle,0
2015,DEF,Phillip Gaines,KC,0
2015,DEF,Andy Gallik,Ten,0
2015,DEF,Graham Gano,Car,0
2015,DEF,Max Garcia,Den,0
2015,DEF,Pierre Garcon,Was,0
2015,DEF,Terence Garvin,Pit,0
2015,DEF,Shamiel Gary,Mia,0
2015,DEF,Kendall Gaskins,SF,0
2015,DEF,Bruce Gaston,GB,1
2015,DEF,Jordan Gay,Buf,0
2015,DEF,Clayton Geathers,Ind,0
2015,DEF,Jeremiah George,TB,0
2015,DEF,Toby Gerhart,Jax,0
2015,DEF,William Gholston,TB,3
2015,DEF,Breno Giacomini,NYJ,0
2015,DEF,Wallace Gilberry,Cin,2
2015,DEF,Justin Gilbert,Cle,0
2015,DEF,Garry Gilliam,Sea,0
2015,DEF,Crockett Gillmore,Bal,0
2015,DEF,Ted Ginn Jr.,Car,0
2015,DEF,Charles Godfrey,Atl,0
2015,DEF,Brittan Golden,Ari,0
2015,DEF,Markus Golden,Ari,4
2015,DEF,Eddie Goldman,Chi,4.5
2015,DEF,Kedric Golston,Was,0
2015,DEF,Najee Goode,Phi,0
2015,DEF,Malliciah Goodman,Atl,0
2015,DEF,Demetri Goodson,GB,0
2015,DEF,Melvin Gordon,SD,0
2015,DEF,Robbie Gould,Chi,0
2015,DEF,Gino Gradkowski,Atl,0
2015,DEF,Chris Gragg,Buf,0
2015,DEF,Brandon Graham,Phi,6.5
2015,DEF,Garrett Graham,Hou,0
2015,DEF,T.J. Graham,NO,0
2015,DEF,Jimmy Graham,Sea,0
2015,DEF,Ryan Grant,Was,0
2015,DEF,Dwayne Gratz,Jax,0
2015,DEF,Jonas Gray,Mia,0
2015,DEF,John Greco,Cle,0
2015,DEF,A.J. Green,Cin,0
2015,DEF,Ladarius Green,SD,0
2015,DEF,Virgil Green,Den,0
2015,DEF,Dorial Green-Beckham,Ten,0
2015,DEF,Rashad Greene,Jax,0
2015,DEF,Randy Gregory,Dal,0
2015,DEF,Clint Gresham,Sea,0
2015,DEF,Jermaine Gresham,Ari,0
2015,DEF,Everson Griffen,Min,10.5
2015,DEF,Geneo Grissom,NE,1
2015,DEF,Rob Gronkowski,NE,0
2015,DEF,Ben Grubbs,KC,0
2015,DEF,Letroy Guion,GB,0
2015,DEF,LaDarius Gunter,GB,0
2015,DEF,Rodney Gunter,Ari,1
2015,DEF,Lawrence Guy,Bal,4.5
2015,DEF,Winston Guy Jr.,Ind,0
2015,DEF,Obum Gwacham,NO,2.5
2015,DEF,Joe Haden,Cle,0
2015,DEF,Ra'Shede Hageman,Atl,1
2015,DEF,Bryce Hager,Stl,0
2015,DEF,Tamba Hali,KC,6.5
2015,DEF,DeAngelo Hall,Was,0
2015,DEF,Frankie Hammond,KC,0
2015,DEF,Johnathan Hankins,NYG,0
2015,DEF,James Hanna,Dal,0
2015,DEF,Clay Harbor,Jax,0
2015,DEF,Justin Hardy,Atl,0
2015,DEF,Cory Harkey,Stl,0
2015,DEF,Eli Harold,SF,0
2015,DEF,Roman Harper,Car,0
2015,DEF,Anthony Harris,Min,0
2015,DEF,Josh Harris,Atl,0
2015,DEF,Clark Harris,Cin,0
2015,DEF,Ryan Harris,Den,0
2015,DEF,David Harris,NYJ,4.5
2015,DEF,Mike Harris,Min,0
2015,DEF,Shelby Harris,Oak,1
2015,DEF,Demetrius Harris,KC,0
2015,DEF,Dwayne Harris,NYG,0
2015,DEF,Jeremy Harris,Was,0
2015,DEF,Jonotthan Harrison,Ind,0
2015,DEF,Damon Harrison,NYJ,0.5
2015,DEF,Bobby Hart,NYG,0
2015,DEF,Taylor Hart,Phi,0
2015,DEF,Percy Harvin,Buf,0
2015,DEF,Jason Hatcher,Was,2
2015,DEF,Stephen Hauschka,Sea,0
2015,DEF,A.J. Hawk,Cin,1
2015,DEF,Andrew Hawkins,Cle,0
2015,DEF,Joe Hawley,TB,0
2015,DEF,David Hawthorne,NO,0
2015,DEF,Nick Hayden,Dal,0
2015,DEF,William Hayes,Stl,5.5
2015,DEF,Jarryd Hayne,SF,0
2015,DEF,Casey Hayward,GB,0
2015,DEF,Ben Heeney,Oak,2.5
2015,DEF,Johnny Hekker,Stl,0
2015,DEF,Roy Helu,Oak,0
2015,DEF,Erin Henderson,NYJ,0
2015,DEF,Seantrel Henderson,Buf,0
2015,DEF,Javontee Herndon,SD,0
2015,DEF,Todd Herremans,Ind,0
2015,DEF,Dan Herron,Ind,0
2015,DEF,Mark Herzlich,NYG,0
2015,DEF,Ryan Hewitt,Cin,0
2015,DEF,Cameron Heyward,Pit,7
2015,DEF,Darrius Heyward-Bey,Pit,0
2015,DEF,Akiem Hicks,NO,3
2015,DEF,Dont'a Hightower,NE,3.5
2015,DEF,Tim Hightower,NO,0
2015,DEF,Sammie Lee Hill,Ten,0
2015,DEF,Troy Hill,Cin,0
2015,DEF,Jordan Hill,Sea,0
2015,DEF,Josh Hill,NO,0
2015,DEF,T.Y. Hilton,Ind,0
2015,DEF,Anthony Hitchens,Dal,2
2015,DEF,Zach Hocker,NO,0
2015,DEF,Gerald Hodges,SF,0
2015,DEF,Chris Hogan,Buf,0
2015,DEF,Andre Holmes,Oak,0
2015,DEF,DeAndre Hopkins,Hou,0
2015,DEF,Dustin Hopkins,Was,0
2015,DEF,Wes Horton,Car,1
2015,DEF,Rob Housler,Cle,0
2015,DEF,Lamarr Houston,Chi,8
2015,DEF,Jaye Howard,KC,5.5
2015,DEF,Kevin Huber,Cin,0
2015,DEF,Rodney Hudson,Oak,0
2015,DEF,Marqueston Huff,Ten,0
2015,DEF,Jerry Hughes,Buf,5
2015,DEF,John Hughes,Cle,1.5
2015,DEF,Montori Hughes,NYG,0
2015,DEF,Charley Hughlett,Cle,0
2015,DEF,Mike Hull,Mia,0
2015,DEF,Ramon Humber,NO,1
2015,DEF,Adam Humphries,TB,0
2015,DEF,Margus Hunt,Cin,0
2015,DEF,Phillip Hunt,Det,1
2015,DEF,Danielle Hunter,Min,6
2015,DEF,Justin Hunter,Ten,0
2015,DEF,Allen Hurns,Jax,0
2015,DEF,Demontre Hurst,Chi,0
2015,DEF,Duke Ihenacho,Was,0
2015,DEF,Richie Incognito,Buf,0
2015,DEF,Melvin Ingram,SD,10.5
2015,DEF,Mark Ingram,NO,0
2015,DEF,Dontrelle Inman,SD,0
2015,DEF,Bruce Irvin,Sea,5.5
2015,DEF,David Irving,Dal,0.5
2015,DEF,Nate Irving,Ind,1
2015,DEF,Chris Ivory,NYJ,0
2015,DEF,Asa Jackson,Bal,0
2015,DEF,Gabe Jackson,Oak,0
2015,DEF,Malik Jackson,Den,5
2015,DEF,Tyson Jackson,Atl,0
2015,DEF,DeSean Jackson,Was,0
2015,DEF,Tramain Jacobs,NYG,0
2015,DEF,Ben Jacobs,Car,0
2015,DEF,Nic Jacobs,Jax,0
2015,DEF,Charles James,Hou,0
2015,DEF,Jeff Janis,GB,0
2015,DEF,J.J. Jansen,Car,0
2015,DEF,Grady Jarrett,Atl,1
2015,DEF,Kyshoen Jarrett,Was,0
2015,DEF,Ricky Jean-Francois,Was,2
2015,DEF,Jackson Jeffcoat,Was,0
2015,DEF,Cullen Jenkins,NYG,3
2015,DEF,Jarvis Jenkins,Chi,4
2015,DEF,Jelani Jenkins,Mia,0
2015,DEF,John Jenkins,NO,0.5
2015,DEF,Mike Jenkins,TB,0
2015,DEF,Tim Jennings,TB,0
2015,DEF,Timmy Jernigan,Bal,4
2015,DEF,Tony Jerod-Eddie,SF,0
2015,DEF,Luke Joeckel,Jax,0
2015,DEF,Randell Johnson,Buf,0
2015,DEF,James-Michael Johnson,Mia,0
2015,DEF,Charles Johnson,Car,1
2015,DEF,Steven Johnson,Ten,0
2015,DEF,Jeron Johnson,Was,0
2015,DEF,Charles Johnson,Min,0
2015,DEF,Rufus Johnson,NE,0
2015,DEF,David Johnson,Ari,0
2015,DEF,Tom Johnson,Min,5.5
2015,DEF,Lane Johnson,Phi,0
2015,DEF,Leonard Johnson,NE,0
2015,DEF,Dontae Johnson,SF,0
2015,DEF,Andre Johnson,Ind,0
2015,DEF,Will Johnson,Pit,0
2015,DEF,Malcolm Johnson,Cle,0
2015,DEF,Duke Johnson,Cle,0
2015,DEF,Austin Johnson,NO,0
2015,DEF,Michael Johnson,Cin,5
2015,DEF,Isaiah Johnson,Det,0
2015,DEF,Calvin Johnson,Det,0
2015,DEF,George Johnson,TB,0
2015,DEF,Cam Johnson,Cle,0
2015,DEF,Matt Jones,Was,0
2015,DEF,Don Jones,NO,0
2015,DEF,Brad Jones,Phi,0
2015,DEF,Ben Jones,Hou,0
2015,DEF,Seantavius Jones,NO,0
2015,DEF,Howard Jones,TB,5
2015,DEF,Byron Jones,Dal,0
2015,DEF,Taiwan Jones,Oak,0
2015,DEF,James Jones,GB,0
2015,DEF,TJ Jones,Det,0
2015,DEF,Christian Jones,Chi,0
2015,DEF,Julio Jones,Atl,0
2015,DEF,Jason Jones,Det,4.5
2015,DEF,Datone Jones,GB,3
2015,DEF,Abry Jones,Jax,2
2015,DEF,Marvin Jones,Cin,0
2015,DEF,DaQuan Jones,Ten,0
2015,DEF,Cameron Jordan,NO,10
2015,DEF,Linval Joseph,Min,0.5
2015,DEF,Lamarcus Joyner,Stl,2
2015,DEF,Kyle Juszczyk,Bal,0
2015,DEF,Frank Kearse,Was,1
2015,DEF,Jermaine Kearse,Sea,0
2015,DEF,Jason Kelce,Phi,0
2015,DEF,Eric Kendricks,Min,4
2015,DEF,Mychal Kendricks,Phi,3
2015,DEF,Jeremy Kerley,NYJ,0
2015,DEF,Zach Kerr,Ind,0
2015,DEF,Ryan Kerrigan,Was,9.5
2015,DEF,Josh Keyes,TB,0
2015,DEF,Hau'oli Kikaha,NO,4
2015,DEF,Darius Kilgo,Den,0
2015,DEF,Brandon King,NE,0
2015,DEF,David King,Sea,0.5
2015,DEF,Akeem King,Atl,0
2015,DEF,Dre Kirkpatrick,Cin,0
2015,DEF,Christian Kirksey,Cle,3.5
2015,DEF,Josh Kline,NE,0
2015,DEF,Karl Klug,Ten,4
2015,DEF,Terrance Knighton,Was,1.5
2015,DEF,Sam Koch,Bal,0
2015,DEF,Jordan Kovacs,Mia,1
2015,DEF,Jonathan Krause,Phi,0
2015,DEF,Tyler Kroft,Cin,0
2015,DEF,Paul Kruger,Cle,2.5
2015,DEF,John Kuhn,GB,0
2015,DEF,Markus Kuhn,NYG,0.5
2015,DEF,Eddie Lacy,GB,0
2015,DEF,L.P. Ladouceur,Dal,0
2015,DEF,Brandon LaFell,NE,0
2015,DEF,Josh Lambo,SD,0
2015,DEF,Emmanuel Lamur,Cin,0.5
2015,DEF,Jorvorskie Lane,TB,0
2015,DEF,T.J. Lang,GB,0
2015,DEF,Kendall Langford,Ind,7
2015,DEF,Jeremy Langford,Chi,0
2015,DEF,Danny Lansanah,TB,1
2015,DEF,Cody Latimer,Den,0
2015,DEF,Jamari Lattimore,NYJ,0
2015,DEF,Cordarro Law,SD,0
2015,DEF,Demarcus Lawrence,Dal,8
2015,DEF,Nevin Lawson,Det,0
2015,DEF,Mike Leach,Ari,0
2015,DEF,Orie Lemon,TB,0
2015,DEF,Corey Lemonier,SF,0
2015,DEF,Charles Leno,Chi,0
2015,DEF,Anthony Levine,Bal,0
2015,DEF,Andrew Levitre,Atl,0
2015,DEF,Taylor Lewan,Ten,0
2015,DEF,Keenan Lewis,NO,0
2015,DEF,Kendrick Lewis,Bal,0
2015,DEF,Travis Lewis,Det,1
2015,DEF,Kapron Lewis-Moore,Bal,0
2015,DEF,Zach Line,Min,0
2015,DEF,Tony Lippett,Mia,0
2015,DEF,Sean Lissemore,SD,0
2015,DEF,Corey Liuget,SD,3
2015,DEF,Tyler Lockett,Sea,0
2015,DEF,Ricardo Lockette,Sea,0
2015,DEF,Curtis Lofton,Oak,1
2015,DEF,Bennie Logan,Phi,1
2015,DEF,Spencer Long,Was,0
2015,DEF,Chris Long,Stl,3
2015,DEF,Matt Longacre,Stl,0
2015,DEF,Star Lotulelei,Car,1
2015,DEF,Kyle Love,Car,3
2015,DEF,Andrew Luck,Ind,0
2015,DEF,Marshawn Lynch,Sea,0
2015,DEF,Aaron Lynch,SF,6.5
2015,DEF,Cameron Lynch,Stl,0
2015,DEF,Alex Mack,Cle,0
2015,DEF,Khalil Mack,Oak,15
2015,DEF,Jeremy Maclin,KC,0
2015,DEF,Craig Mager,SD,0
2015,DEF,Nick Mangold,NYJ,0
2015,DEF,Johnny Manziel,Cle,0
2015,DEF,Chris Maragos,Phi,0
2015,DEF,Marc Mariani,Chi,0
2015,DEF,Sen'Derrick Marks,Jax,0
2015,DEF,Ali Marpet,TB,0
2015,DEF,Bradley Marquez,Stl,0
2015,DEF,Cassius Marsh,Sea,0
2015,DEF,Brandon Marshall,NYJ,0
2015,DEF,Nick Marshall,Jax,0
2015,DEF,Zack Martin,Dal,0
2015,DEF,Doug Martin,TB,0
2015,DEF,Eric Martin,NE,0
2015,DEF,Kareem Martin,Ari,1.5
2015,DEF,Mike Martin,Ten,0
2015,DEF,Marcus Martin,SF,0
2015,DEF,Ronald Martin,NYJ,0
2015,DEF,Sam Martin,Det,0
2015,DEF,Sherrod Martin,Chi,0
