Year,POS,Player,Team,Sack
2016,DEF,Tramon Williams,Cle,0
2016,DEF,Avery Williamson,Ten,2
2016,DEF,Bene Benwikere,Car,0
2016,DEF,Calais Campbell,Ari,8
2016,DEF,Luke Kuechly,Car,2
2016,DEF,Ron Parker,KC,0
2016,DEF,William Parks,Den,0
2016,DEF,Denzel Perryman,SD,2
2016,DEF,Su'a Cravens,Was,1
2016,DEF,Adam Jones,Cin,0
2016,DEF,DeShawn Shead,Sea,0
2016,DEF,Johnson Bademosi,Det,0
2016,DEF,Nick Bellore,SF,1
2016,DEF,Patrick Chung,NE,1
2016,DEF,Tom Johnson,Min,2
2016,DEF,Blake Martinez,GB,1
2016,DEF,Daimion Stafford,Ten,1
2016,DEF,Ray-Ray Armstrong,SF,0
2016,DEF,Will Compton,Was,0
2016,DEF,Brandon Mebane,SD,1
2016,DEF,Terrence Brooks,Phi,0
2016,DEF,Khalil Mack,Oak,11
2016,DEF,Vincent Rey,Cin,0
2016,DEF,Ramik Wilson,KC,0
2016,DEF,De'Vondre Campbell,Atl,0
2016,DEF,Kony Ealy,Car,5
2016,DEF,Byron Jones,Dal,0
2016,DEF,Miles Killebrew,Det,0
2016,DEF,B.W. Webb,NO,0
2016,DEF,Mike Hull,Mia,0
2016,DEF,Craig Mager,SD,0
2016,DEF,Martrell Spaight,Was,0
2016,DEF,Jimmie Ward,SF,1
2016,DEF,J.J. Wilcox,Dal,0
2016,DEF,Tyrann Mathieu,Ari,1
2016,DEF,Rey Maualuga,Cin,0
2016,DEF,Yannick Ngakoue,Jax,8
2016,DEF,Joe Thomas,GB,0
2016,DEF,Desmond Trufant,Atl,2
2016,DEF,Bobby Wagner,Sea,4.5
2016,DEF,Chris Lewis-Harris,Cin,0
2016,DEF,Shaq Thompson,Car,0
2016,DEF,Cameron Wake,Mia,11.5
2016,DEF,Eric Reid,SF,0
2016,DEF,T.J. Carrie,Oak,0
2016,DEF,Michael Morgan,Sea,0
2016,DEF,Lavonte David,TB,5
2016,DEF,Alterraun Verner,TB,0
2016,DEF,Chad Greenway,Min,0
2016,DEF,Reshad Jones,Mia,0.5
2016,DEF,Jordan Phillips,Mia,0.5
2016,DEF,Bacarri Rambo,Mia,0
2016,DEF,Andrew Adams,NYG,0
2016,DEF,Jeff Heath,Dal,0
2016,DEF,Teddy Williams,Car,0
2016,DEF,Jarvis Jones,Pit,1
2016,DEF,Jacoby Glenn,Chi,0
2016,DEF,Karl Joseph,Oak,0
2016,DEF,Wesley Woodyard,Ten,2
2016,DEF,Adrian Phillips,SD,0
2016,DEF,Preston Smith,Was,4.5
2016,DEF,Daryl Worley,Car,1
2016,DEF,T.J. Ward,Den,1
2016,DEF,Brian Poole,Atl,1
2016,DEF,Akeem Ayers,Ind,2
2016,DEF,Dwight Lowery,SD,0
2016,DEF,Michael Mitchell,Pit,0
2016,DEF,Morris Claiborne,Dal,0
2016,DEF,Lorenzo Alexander,Buf,12.5
2016,DEF,Nigel Bradham,Phi,2
2016,DEF,Cody Davis,LA,0
2016,DEF,Leon Hall,NYG,2
2016,DEF,Craig Robertson,NO,1
2016,DEF,Tashaun Gipson,Jax,0
2016,DEF,Brandon Flowers,SD,0
2016,DEF,Kwon Alexander,TB,3
2016,DEF,Tramaine Brock,SF,0
2016,DEF,Kareem Jackson,Hou,0
2016,DEF,Darrelle Revis,NYJ,0
2016,DEF,Darryl Skrine,NYJ,1
2016,DEF,Harlan Miller,Ari,0
2016,DEF,Derrick Johnson,KC,1
2016,DEF,Justin Bethel,Ari,0
2016,DEF,Eric Kendricks,Min,2.5
2016,DEF,Will Blackmon,Was,0.5
2016,DEF,Jahleel Addae,SD,0
2016,DEF,Mehdi Abdesmad,Ten,0
2016,DEF,Oday Aboushi,Hou,0
2016,DEF,Sam Acho,Chi,1
2016,DEF,Kenneth Acker,KC,0
2016,DEF,Davante Adams,GB,0
2016,DEF,Mario Addison,Car,9.5
2016,DEF,Jude Adjei-Barimah,TB,2
2016,DEF,Nelson Agholor,Phi,0
2016,DEF,Roberto Aguayo,TB,0
2016,DEF,Kamar Aiken,Bal,0
2016,DEF,Walt Aikens,Mia,0
2016,DEF,Jay Ajayi,Mia,0
2016,DEF,Mackensie Alexander,Min,0
2016,DEF,D.J. Alexander,KC,0
2016,DEF,Dominique Alexander,Cle,0
2016,DEF,Antonio Allen,NYJ,0
2016,DEF,Beau Allen,Phi,0.5
2016,DEF,Tyson Alualu,Jax,2.5
2016,DEF,Danny Amendola,NE,0
