Year,POS,Team,IR,FR,BK,BP,FGR,Saf
2013,DEF,MIA,2,0,0,0,0,1
2013,DEF,CLE,3,1,0,0,0,0
2013,DEF,NYG,2,0,0,1,0,0
2013,DEF,NYJ,1,0,0,1,0,1
2013,DEF,TB,3,0,0,0,0,1
2013,DEF,HOU,1,0,0,0,0,1
2013,DEF,JAX,1,1,0,0,0,3
2012,DEF,NE,2,4,0,0,0,1
2012,DEF,DEN,5,1,0,0,0,2
2012,DEF,NO,4,0,0,1,0,0
2012,DEF,WAS,3,3,0,0,0,0
2012,DEF,GB,1,1,0,1,0,0
2012,DEF,NYG,1,1,0,0,0,0
2012,DEF,ATL,1,1,0,0,0,0
2012,DEF,HOU,3,0,0,2,0,1
2012,DEF,SEA,2,1,1,1,0,0
2012,DEF,BAL,2,0,0,0,0,0
2012,DEF,SF,2,2,0,0,0,1
2012,DEF,CIN,2,1,0,0,0,0
2012,DEF,TB,3,0,0,1,0,0
2012,DEF,MIN,3,0,0,0,0,0
2012,DEF,DAL,1,2,0,0,0,0
2012,DEF,CHI,8,1,0,1,0,0
2012,DEF,DET,0,0,0,0,0,1
2012,DEF,CAR,3,1,0,0,0,1
2012,DEF,IND,4,0,0,0,0,0
2012,DEF,SD,5,2,0,0,0,1
2012,DEF,BUF,1,0,0,0,0,1
2012,DEF,PIT,1,0,0,0,0,0
2012,DEF,TEN,4,1,0,0,0,1
2012,DEF,CLE,2,0,0,0,0,0
2012,DEF,LAR,4,1,0,0,0,1
2012,DEF,OAK,0,0,0,0,0,0
2012,DEF,MIA,0,0,0,1,0,0
2012,DEF,NYJ,2,1,0,0,0,1
2012,DEF,PHI,0,0,0,0,0,0
2012,DEF,JAX,0,0,0,1,0,0
2012,DEF,ARI,2,1,1,0,0,0
2012,DEF,KC,0,1,0,0,0,1
,,,,,,,,
